ID,Dein Artist Name,Stage,Playtime,day,start_time,end_time
3639,Phara,Porto Loco,"Friday night to Saturday morning, 14.08/15.08, 02:00 - 03:00",Friday,02:00,03:00
3641,face*,Porto Loco,"Friday night to Saturday morning, 14.08/15.08, 05:00 - 07:00",Friday,05:00,07:00
3643,Quantic Devices,Waldtraut,"Sunday, 16.08.2026, 14:00 - 15:30",Sunday,14:00,15:30
3647,Alina Viktoria,Stroboklo,"Sunday, 16.08.2026, 20:00 - 22:00",Sunday,20:00,22:00
3649,dj buona sara,Neustockland,"Sunday, 16.08.2026, 06:30 - 09:00",Sunday,06:30,09:00
3651,tibitrap,Zirkus Mond,"Saturday, 15.08.2026, 17:00 - 18:00",Saturday,17:00,18:00
3653,PEREZ PAPI,Zirkus Mond,"Saturday night to Sunday morning, 15.08/16.08, 00:00 - 01:00",Saturday,00:00,01:00
3655,Lucy Love und die Andere,Neustockland,"Sunday, 16.08.2026, 09:00 - 11:00",Sunday,09:00,11:00
3661,SASKiA SASSE,Neustockland,"Saturday, 15.08.2026, 06:00 - 08:00",Saturday,06:00,08:00
3663,Isabeau Fort,Mirage,"Sunday, 16.08.2026, 20:30 - 23:00",Sunday,20:30,23:00
3665,Saeko Killy,Mirage,"Thursday night to Friday morning, 13.08/14.08, 02:00 - 04:00",Thursday,02:00,04:00
3667,Stefan Vöst,Waldtraut,"Sunday night to Monday morning, 16.08/17.08, 23:00 - 01:00",Sunday,23:00,01:00
3669,Käpt'n 12 & Düsentrieb,Unterholz,"Sunday night to Monday morning, 16.08/17.08, 02:30 - 05:00",Sunday,02:30,05:00
3671,PARRA FOR CUVA,Atlantis,"Friday, 14.08.2026, 21:30 - 23:00",Friday,21:30,23:00
3673,Natascha Polké,Atlantis,"Saturday, 15.08.2026, 19:00 - 20:30",Saturday,19:00,20:30
3675,Ole Olsen,Stroboklo,"Saturday night to Sunday morning, 15.08/16.08, 02:00 - 04:00",Saturday,02:00,04:00
3677,Sarah Farina,Schlupfloch,"Saturday night to Sunday morning, 15.08/16.08, 02:00 - 04:00",Saturday,02:00,04:00
3679,Sheila,Waldtraut,"Friday, 14.08.2026, 16:00 - 18:30",Friday,16:00,18:30
3683,STEFFOO,Zirkus Mond,"Saturday night to Sunday morning, 15.08/16.08, 01:00 - 02:30",Saturday,01:00,02:30
3685,pixxi,Neustockland,"Saturday, 15.08.2026, 20:00 - 20:30",Saturday,20:00,20:30
3687,SkyVibes,Waldtraut,"Friday, 14.08.2026, 18:30 - 20:30",Friday,18:30,20:30
3689,OhOhOuzo,Sektamt,"Sunday night to Monday morning, 16.08/17.08, 02:00 - 04:00",Sunday,02:00,04:00
3691,Planfrei,Sektamt,"Friday, 14.08.2026, 18:00 - 20:00",Friday,18:00,20:00
3693,Vittjas Tief,Waldtraut,"Friday night to Saturday morning, 14.08/15.08, 03:30 - 06:30",Friday,03:30,06:30
3697,Nixe,Unterholz,"Sunday, 16.08.2026, 19:00 - 21:00",Sunday,19:00,21:00
3699,steve challier,Schlupfloch,"Sunday night to Monday morning, 16.08/17.08, 23:00 - 06:00",Sunday,23:00,06:00
3701,Robinson Schmuso,Zirkus Mond,"Friday, 14.08.2026, 17:30 - 19:30",Friday,30.12.1899,30.12.1899
3703,Maybe it's Nice,,,,,
3707,Frida Darko,Atlantis,"Friday night to Saturday morning, 14.08/15.08, 03:00 - 05:00",Friday,03:00,05:00
3709,RAFA,Schlupfloch,"Sunday, 16.08.2026, 23:00 - 06.00",Sunday,23:00,06:00
3711,Christopher lawrenz,Schlupfloch,"Sunday, 16.08.2026, 23:00 - 06.00",Sunday,23:00,06:00
3713,Hagel,Schlupfloch,"Sunday, 16.08.2026, 23:00 - 06.00",Sunday,23:00,06:00
3715,Prtcl,Zirkus Mond,"Friday night to Saturday morning, 14.08/15.08, 00:00 - 02:00",Friday,30.12.1899,30.12.1899
3717,Babestation,,,,,
3719,Paul Valentin,,,,,
3721,Mariybu,,,,,
3723,Derya Yildirim,,,,,
3725,Jiido,,,,,
3727,Riders Connection,,,,,
3729,Cosmic Dance Kitchen,,,,,
3731,Maria Theresia von Eberg,,,,,
3735,Dave Lewis,,,,,
3737,Von Spazier,,,,,
3739,heidiwitzka,,,,,
3747,Gina Scirocco,,,,,
3751,Atric,Porto Loco,"Saturday, 15.08.2026, 16.30 - 17.30",Saturday,30.12.1899,30.12.1899
3753,Floyd Lavine,,,,,
3755,Megatronic,,,,,
3757,The Naked Tea Party,,,,,
3759,The Naked Tea Party,,,,,
3761,Enzio Etchaberri & Tobi Dei & Niklaus Katzorke,,,,,
3763,Tina Tischler,,,,,
3769,Foolik,,,,,
3771,Voodoos and Taboos,,,,,
3773,Krumelur,,,,,
3781,The Naked Tea Party,,,,,
